"","Date","cum_positive","cum_death","cum_testing","cum_recovery","new_positive_people","new_negative_people","cum_Hosp","cum_ICU","People_tested","preval_Hosp","preval_ICU","new_positive","calc_cum_positive_people","calc_cum_negative_people","calc_people"
"63",2020-03-26,486,2,NA,27,31,1080,NA,NA,NA,21,10,67,400,37059,37459
"64",2020-03-27,542,2,NA,33,68,3438,34,11,38215,23,10,56,468,40497,40965
"65",2020-03-28,621,2,42527,53,36,2052,38,12,41691,26,11,79,504,42549,43053
"66",2020-03-29,661,3,44999,73,18,1838,41,14,44097,28,12,40,522,44387,44909
"67",2020-03-30,690,3,46057,94,28,2534,47,17,46057,28,11,29,550,46921,47471
"68",2020-03-31,754,9,48692,120,107,4378,49,17,48692,26,11,64,657,51299,51956
"69",2020-04-01,871,11,53141,142,82,3587,62,20,NA,29,13,117,739,54886,55625
"70",2020-04-02,968,13,57096,174,84,3803,67,21,NA,32,14,97,823,58689,59512
"71",2020-04-03,1075,18,61960,196,38,1500,75,24,60508,39,15,107,861,60189,61050
"72",2020-04-04,1181,20,64108,240,38,1708,75,25,62520,42,14,106,899,61897,62796
"73",2020-04-05,1250,23,64806,279,17,583,84,26,63399,35,13,69,916,62480,63396
